grouping	priority	hash	label
1	1	733960c0bd244d7f2d28d8bb58ab1e9eef0826d2	make new friends
1	2	2958cc2fedcbde0b8309a691cfaa934572c96c55	find love
1	3	7369a0f04839d28ec9b46fd62eaf43f93aaf83c1	have sex
2	4	b5f0c69afb444c9371b132da3cd400d438725e6b	pet a cat
2	5	5687580522e29722816191f8da59e4f930c876ad	pet a dog
3	6	27e31a25cbfc08ec916486687dcbe169cc15d471	play board games
3	7	d3c0d8ab86b678ed0b75784998eab5c1eed1fd96	play video games
4	8	b5b9251b38e6860d5ae514cc848060ab7f404c95	drink beer
4	9	e8b4308ddf27206f4a43386cba74037c59455993	drink wine
5	10	21298df8a3277357ee55b01df9530b535cf08ec1	god
5	11	aa4a5f8125f234182e2dea92805afdfb747a86be	state
5	12	ab3ccc8dba2a0cf7a1ce4d830bb8a6238ff03833	people
6	13	36475d8fcff146b570f6327e2d67bee43fb6bb6b	end war
6	14	df68919819bd26a7ba8900ffa4933684f46eb51f	end poverty
7	15	1666d9d26892250a1819e9396842365830dfae64	going for a walk
7	16	6daf2f23256445faf5c0be6e777817597de046fc	going for a run
8	17	956aa5502f869ab21ce309ed7c4e731f00255e24	watch a movie
8	18	e3cb7707b9bf68baf3436b5576a83674f37c485a	listen to music
9	19	01bab3aa475ecb0cafd1c71573d53a2be6c9f87a	i'm more of a listener
9	20	6011eff449895687d849294d48408a0a70fd0d07	i'm more of a talker
10	21	9d35774c3fc62c894a5332b308cdeb1de18e7267	healthy food
10	22	6f9ca4cb188fad532eabcd0ba4140b754e6c2153	tasty food
11	23	59237d8eee2409e422e146a5de0f1b73c20734c8	advance my career
12	24	0a96963bb82b753ebba9500e12e521a7ae4a3ba6	diet
12	25	8ab6a8a0cf069e3783c6f59163ad03a051310556	sport
13	26	695aa327bf7487a50c32ab5810dbf75fd54b6d86	living in the city
13	27	c0e6cdc53db918b7b33b56461d57493df7cd450c	living in a small town
14	28	0efb10a969222564be9e52ba4bf961cfa9219fd2	fight climat change
14	29	dde45e7b14c245dbd0e4576b98747f312571d85d	fight biodiversity loss
15	30	1f6ccd2be75f1cc94a22a773eea8f8aeb5c68217	pizza
15	31	7a86b15480e0a870f0b07a4d23a54ef8f9acac44	burger
15	32	451dcf9913bf3b329c05c2a46ad555eeae267ba8	sushi
16	33	635188d22165358a35d5e545166f89c643a01e82	eat fish
16	34	dbf08302e49b7440a15a2181fb58ed0e909c983b	eat meat
16	35	ba170f73918294f88102f55807381c2ee52c2246	eat eggs
16	36	c94e01243791ef0a9db903b469db41985a872275	eat tofu
17	37	60f83d2c88f62f89d063c228d92ab5130b6039ee	baby humans are the cutest
17	38	8e4cb5d870160b533e0f512d17b0c85f9ca9c024	baby animals are the cutest
18	39	6e3be8b6ef6aef1ff4589180ff14d7028b7e355d	talking about politics
18	40	1cf6a14b165805cb399aa52822246831d96b2dc0	talking about activities
18	41	72a7b9a5b1f5f34b937cafa9ce033af241f83b2d	talking about experiences
18	42	07c605ab91db7c169410461972913781a1207710	talking about food
19	43	efc204d1347319e0e3e3e4e8c3dc8643aa3b801f	preparing for societal collapse
20	44	b463d1da8a0e78ae663a38b3441a6a0de329f462	have no kid
20	45	05f48dc92ea3a177aacd91b98507894f78c73524	have 3 kids
20	46	81c92b8be23eca063169692571c66b1a169e43c2	have 1 kid
20	47	1f56a1f9fc9fd8e239689e2dd4912fb6ac49fdd8	have 2 kids
21	48	3a8477f62559d64f4b7a2fc748d6bb3727504c2d	i'm more of an optimist
21	49	2cc11c24d0b24205e5e9e5f32251bd9383d7fc44	i'm more of an pessimist
22	50	290599f1c3aff5d7d6453c4f4ca477ca2d1ce444	beach vacation
22	51	36c833cfef39a7310967b85f4822ab7ca8f3c764	mountain vacation
23	52	0830de1422f1e2cef8fa7dab2d96ac9e45b4916a	right politics
23	53	ad43796ba5c2bd9e922ef68220b869e5b0553388	fuck politics
24	54	62e9befc35be73e8a70a749bf4d2f723d964e2c8	socialism
24	55	996326a10b51797e93d4389e0daef2ee5335a608	liberalism
24	56	0b7c9fe4f3b59fecc8f0bb10f537c8ff6be989ec	communism
24	57	1c1b29749757355cdd44c724582c9f28c0f5eed5	anarchism
25	58	e2a3b659a5d7a32963da30be83f903ba0f9927b6	collectivism
25	59	4511a4533e6572020fb1b6ed06ab07a61f7a7b29	individualism